"PalyerName","PlayerState","TotPts","PlayerPreRanking","AvgRating"
"Player Name","<td id=LC3 class=blob-code blob-code-inner js-file-line> Num","Total",NA,NA
"GARY HUA","<td id=LC6 class=blob-code blob-code-inner js-file-line>   ON","6.0","1794",NA
"DAKSHESH DARURI","<td id=LC9 class=blob-code blob-code-inner js-file-line>   MI","6.0","1553",NA
"ADITYA BAJAJ","<td id=LC12 class=blob-code blob-code-inner js-file-line>   MI","6.0","1384",NA
"PATRICK H SCHILLING","<td id=LC15 class=blob-code blob-code-inner js-file-line>   MI","5.5","1716",NA
"HANSHI ZUO","<td id=LC18 class=blob-code blob-code-inner js-file-line>   MI","5.5","1655",NA
"HANSEN SONG","<td id=LC21 class=blob-code blob-code-inner js-file-line>   OH","5.0","1686",NA
"GARY DEE SWATHELL","<td id=LC24 class=blob-code blob-code-inner js-file-line>   MI","5.0","1649",NA
"EZEKIEL HOUGHTON","<td id=LC27 class=blob-code blob-code-inner js-file-line>   MI","5.0","1641",NA
"STEFANO LEE","<td id=LC30 class=blob-code blob-code-inner js-file-line>   ON","5.0","1411",NA
"ANVIT RAO","<td id=LC33 class=blob-code blob-code-inner js-file-line>   MI","5.0","1365",NA
"CAMERON WILLIAM MC LEMAN","<td id=LC36 class=blob-code blob-code-inner js-file-line>   MI","4.5","1712",NA
"KENNETH J TACK","<td id=LC39 class=blob-code blob-code-inner js-file-line>   MI","4.5","1663",NA
"TORRANCE HENRY JR","<td id=LC42 class=blob-code blob-code-inner js-file-line>   MI","4.5","1666",NA
"BRADLEY SHAW","<td id=LC45 class=blob-code blob-code-inner js-file-line>   MI","4.5","1610",NA
"ZACHARY JAMES HOUGHTON","<td id=LC48 class=blob-code blob-code-inner js-file-line>   MI","4.5","1220",NA
"MIKE NIKITIN","<td id=LC51 class=blob-code blob-code-inner js-file-line>   MI","4.0","1604",NA
"RONALD GRZEGORCZYK","<td id=LC54 class=blob-code blob-code-inner js-file-line>   MI","4.0","1629",NA
"DAVID SUNDEEN","<td id=LC57 class=blob-code blob-code-inner js-file-line>   MI","4.0","1600",NA
"DIPANKAR ROY","<td id=LC60 class=blob-code blob-code-inner js-file-line>   MI","4.0","1564",NA
"JASON ZHENG","<td id=LC63 class=blob-code blob-code-inner js-file-line>   MI","4.0","1595",NA
"DINH DANG BUI","<td id=LC66 class=blob-code blob-code-inner js-file-line>   ON","4.0","1563",NA
"EUGENE L MCCLURE","<td id=LC69 class=blob-code blob-code-inner js-file-line>   MI","4.0","1555",NA
"ALAN BUI","<td id=LC72 class=blob-code blob-code-inner js-file-line>   ON","4.0","1363",NA
"MICHAEL R ALDRICH","<td id=LC75 class=blob-code blob-code-inner js-file-line>   MI","4.0","1229",NA
"LOREN SCHWIEBERT","<td id=LC78 class=blob-code blob-code-inner js-file-line>   MI","3.5","1745",NA
"MAX ZHU","<td id=LC81 class=blob-code blob-code-inner js-file-line>   ON","3.5","1579",NA
"GAURAV GIDWANI","<td id=LC84 class=blob-code blob-code-inner js-file-line>   MI","3.5","1552",NA
"SOFIA ADINA STANESCU-BELLU","<td id=LC87 class=blob-code blob-code-inner js-file-line>   MI","3.5","1507",NA
"CHIEDOZIE OKORIE","<td id=LC90 class=blob-code blob-code-inner js-file-line>   MI","3.5","1602",NA
"GEORGE AVERY JONES","<td id=LC93 class=blob-code blob-code-inner js-file-line>   ON","3.5","1522",NA
"RISHI SHETTY","<td id=LC96 class=blob-code blob-code-inner js-file-line>   MI","3.5","1494",NA
"JOSHUA PHILIP MATHEWS","<td id=LC99 class=blob-code blob-code-inner js-file-line>   ON","3.5","1441",NA
"JADE GE","<td id=LC102 class=blob-code blob-code-inner js-file-line>   MI","3.5","1449",NA
"MICHAEL JEFFERY THOMAS","<td id=LC105 class=blob-code blob-code-inner js-file-line>   MI","3.5","1399",NA
"JOSHUA DAVID LEE","<td id=LC108 class=blob-code blob-code-inner js-file-line>   MI","3.5","1438",NA
"SIDDHARTH JHA","<td id=LC111 class=blob-code blob-code-inner js-file-line>   MI","3.5","1355",NA
"AMIYATOSH PWNANANDAM","<td id=LC114 class=blob-code blob-code-inner js-file-line>   MI","3.5","980",NA
"BRIAN LIU","<td id=LC117 class=blob-code blob-code-inner js-file-line>   MI","3.0","1423",NA
"JOEL R HENDON","<td id=LC120 class=blob-code blob-code-inner js-file-line>   MI","3.0","1436",NA
"FOREST ZHANG","<td id=LC123 class=blob-code blob-code-inner js-file-line>   MI","3.0","1348",NA
"KYLE WILLIAM MURPHY","<td id=LC126 class=blob-code blob-code-inner js-file-line>   MI","3.0","1403",NA
"JARED GE","<td id=LC129 class=blob-code blob-code-inner js-file-line>   MI","3.0","1332",NA
"ROBERT GLEN VASEY","<td id=LC132 class=blob-code blob-code-inner js-file-line>   MI","3.0","1283",NA
"JUSTIN D SCHILLING","<td id=LC135 class=blob-code blob-code-inner js-file-line>   MI","3.0","1199",NA
"DEREK YAN","<td id=LC138 class=blob-code blob-code-inner js-file-line>   MI","3.0","1242",NA
"JACOB ALEXANDER LAVALLEY","<td id=LC141 class=blob-code blob-code-inner js-file-line>   MI","3.0","377",NA
"ERIC WRIGHT","<td id=LC144 class=blob-code blob-code-inner js-file-line>   MI","2.5","1362",NA
"DANIEL KHAIN","<td id=LC147 class=blob-code blob-code-inner js-file-line>   MI","2.5","1382",NA
"MICHAEL J MARTIN","<td id=LC150 class=blob-code blob-code-inner js-file-line>   MI","2.5","1291",NA
"SHIVAM JHA","<td id=LC153 class=blob-code blob-code-inner js-file-line>   MI","2.5","1056",NA
"TEJAS AYYAGARI","<td id=LC156 class=blob-code blob-code-inner js-file-line>   MI","2.5","1011",NA
"ETHAN GUO","<td id=LC159 class=blob-code blob-code-inner js-file-line>   MI","2.5","935",NA
"JOSE C YBARRA","<td id=LC162 class=blob-code blob-code-inner js-file-line>   MI","2.0","1393",NA
